ItemID,int1 (max?),int2 (rate?),int3 (initial?),element4_byte,ResID,ResourceName,ItemName
6,1,0,1,3,houses,houses,
7,1,0,1,3,houses,houses,
8,1,0,1,3,houses,houses,
10,1,0,1,3,houses,houses,
11,1,0,1,3,houses,houses,
12,1,0,1,3,houses,houses,
13,1,0,1,3,houses,houses,
14,1,0,1,3,houses,houses,
14,1,0,1,3,windows,windows,
15,1,0,1,3,houses,houses,
15,1,0,1,3,windows,windows,
26,1,0,1,3,houses,houses,
27,1,0,1,3,houses,houses,
28,1,0,1,3,houses,houses,
29,1,0,1,3,houses,houses,
30,1,0,1,3,houses,houses,
31,1,0,1,3,houses,houses,
32,1,0,1,3,houses,houses,
33,1,0,1,3,houses,houses,
34,1,0,1,3,houses,houses,
34,1,0,1,3,windows,windows,
35,1,0,1,3,houses,houses,
35,1,0,1,3,windows,windows,
40,1,0,1,3,houses,houses,
41,1,0,1,3,houses,houses,
42,1,0,1,3,houses,houses,
43,1,0,1,3,houses,houses,
44,1,0,1,3,houses,houses,
51,1,0,1,3,houses,houses,
52,1,0,1,3,houses,houses,
53,1,0,1,3,houses,houses,
54,1,0,1,3,houses,houses,
55,1,0,1,3,houses,houses,
56,1,0,1,3,houses,houses,
57,1,0,1,3,houses,houses,
58,1,0,1,3,houses,houses,
59,1,0,1,3,houses,houses,
59,1,0,1,3,windows,windows,
60,1,0,1,3,houses,houses,
60,1,0,1,3,windows,windows,
69,1,0,1,3,houses,houses,
70,1,0,1,3,houses,houses,
71,1,0,1,3,houses,houses,
72,1,0,1,3,houses,houses,
73,1,0,1,3,houses,houses,
74,1,0,1,3,houses,houses,
75,1,0,1,3,houses,houses,
76,1,0,1,3,houses,houses,
77,1,0,1,3,houses,houses,
87,1,0,1,3,houses,houses,
88,1,0,1,3,houses,houses,
89,1,0,1,3,houses,houses,
90,1,0,1,3,houses,houses,
91,1,0,1,3,houses,houses,
92,1,0,1,3,houses,houses,
93,1,0,1,3,houses,houses,
93,1,0,1,3,windows,windows,
94,1,0,1,3,houses,houses,
94,1,0,1,3,windows,windows,
109,1,0,1,3,houses,houses,
110,1,0,1,3,houses,houses,
111,1,0,1,3,houses,houses,
112,1,0,1,3,houses,houses,
113,1,0,1,3,houses,houses,
144,1,0,1,3,houses,houses,
145,1,0,1,3,houses,houses,
146,1,0,1,3,houses,houses,
148,1,0,1,3,houses,houses,
149,1,0,1,3,houses,houses,
150,1,0,1,3,houses,houses,
151,1,0,1,3,houses,houses,
152,1,0,1,3,houses,houses,
152,1,0,1,3,windows,windows,
153,1,0,1,3,houses,houses,
153,1,0,1,3,windows,windows,
166,1,0,1,3,houses,houses,
167,1,0,1,3,houses,houses,
168,1,0,1,3,houses,houses,
169,1,0,1,3,houses,houses,
170,1,0,1,3,houses,houses,
171,1,0,1,3,houses,houses,
172,1,0,1,3,houses,houses,
173,1,0,1,3,houses,houses,
174,2,0,2,3,houses,houses,
175,1,0,1,3,houses,houses,
176,1,0,1,3,houses,houses,
177,1,0,1,3,houses,houses,
178,1,0,1,3,houses,houses,
179,1,0,1,3,houses,houses,
180,1,0,1,3,houses,houses,
181,1,0,1,3,houses,houses,
185,1,0,1,3,houses,houses,
185,1,0,1,3,windows,windows,
186,1,0,1,3,houses,houses,
186,1,0,1,3,windows,windows,
187,1,0,1,3,houses,houses,
187,1,0,1,3,windows,windows,
188,1,0,1,3,houses,houses,
188,1,0,1,3,windows,windows,
197,1,0,1,3,houses,houses,
198,1,0,1,3,houses,houses,
199,1,0,1,3,houses,houses,
200,1,0,1,3,houses,houses,
201,1,0,1,3,houses,houses,
202,1,0,1,3,houses,houses,
203,1,0,1,3,houses,houses,
204,1,0,1,3,houses,houses,
205,1,0,1,3,houses,houses,
206,1,0,1,3,houses,houses,
207,1,0,1,3,houses,houses,
208,1,0,1,3,houses,houses,
209,1,0,1,3,houses,houses,
212,1,0,1,3,houses,houses,
248,1,0,1,3,houses,houses,
249,1,0,1,3,houses,houses,
250,1,0,1,3,houses,houses,
251,1,0,1,3,houses,houses,
252,1,0,1,3,houses,houses,
252,1,0,1,3,windows,windows,
253,1,0,1,3,houses,houses,
253,1,0,1,3,windows,windows,
254,1,0,1,3,houses,houses,
255,1,0,1,3,houses,houses,
256,1,0,1,3,houses,houses,
257,1,0,1,3,houses,houses,
258,1,0,1,3,houses,houses,
259,1,0,1,3,houses,houses,
260,1,0,1,3,houses,houses,
261,1,0,1,3,houses,houses,
262,1,0,1,3,houses,houses,
263,1,0,1,3,houses,houses,
264,1,0,1,3,houses,houses,
265,1,0,1,3,houses,houses,
274,1,0,1,3,houses,houses,
275,1,0,1,3,houses,houses,
276,1,0,1,3,houses,houses,
277,1,0,1,3,houses,houses,
278,1,0,1,3,houses,houses,
289,1,0,1,3,houses,houses,
290,1,0,1,3,houses,houses,
291,1,0,1,3,houses,houses,
292,1,0,1,3,houses,houses,
295,1,0,1,3,houses,houses,
296,1,0,1,3,houses,houses,
297,1,0,1,3,houses,houses,
298,1,0,1,3,houses,houses,
299,1,0,1,3,houses,houses,
300,1,0,1,3,houses,houses,
301,1,0,1,3,houses,houses,
302,1,0,1,3,houses,houses,
303,1,0,1,3,houses,houses,
304,1,0,1,3,houses,houses,
305,1,0,1,3,houses,houses,
306,1,0,1,3,houses,houses,
307,1,0,1,3,houses,houses,
308,1,0,1,3,houses,houses,
309,1,0,1,3,houses,houses,
310,1,0,1,3,houses,houses,
311,1,0,1,3,houses,houses,
312,1,0,1,3,houses,houses,
313,1,0,1,3,houses,houses,
314,1,0,1,3,houses,houses,
314,1,0,1,3,windows,windows,
315,1,0,1,3,houses,houses,
315,1,0,1,3,windows,windows,
316,1,0,1,3,houses,houses,
317,1,0,1,3,houses,houses,
318,1,0,1,3,houses,houses,
319,1,0,1,3,houses,houses,
320,1,0,1,3,houses,houses,
329,1,0,1,3,houses,houses,
332,1,0,1,3,houses,houses,
333,1,0,1,3,houses,houses,
334,1,0,1,3,houses,houses,
335,1,0,1,3,houses,houses,
336,1,0,1,3,houses,houses,
337,1,0,1,3,houses,houses,
338,1,0,1,3,houses,houses,
339,1,0,1,3,houses,houses,
340,1,0,1,3,houses,houses,
340,1,0,1,3,windows,windows,
341,1,0,1,3,houses,houses,
341,1,0,1,3,windows,windows,
342,2,0,2,3,houses,houses,
342,1,0,1,3,windows,windows,
343,1,0,1,3,houses,houses,
343,1,0,1,3,windows,windows,
344,1,0,1,3,houses,houses,
345,1,0,1,3,houses,houses,
346,1,0,1,3,houses,houses,
347,1,0,1,3,houses,houses,
348,1,0,1,3,houses,houses,
348,1,0,1,3,windows,windows,
349,1,0,1,3,houses,houses,
349,2,0,2,3,windows,windows,
350,1,0,1,3,houses,houses,
351,1,0,1,3,houses,houses,
352,1,0,1,3,houses,houses,
353,1,0,1,3,houses,houses,
354,1,0,1,3,houses,houses,
354,1,0,1,3,windows,windows,
355,1,0,1,3,houses,houses,
355,1,0,1,3,windows,windows,
421,1,0,1,3,houses,houses,
422,1,0,1,3,houses,houses,
423,1,0,1,3,houses,houses,
425,1,0,1,3,houses,houses,
426,1,0,1,3,houses,houses,
427,1,0,1,3,houses,houses,
428,1,0,1,3,houses,houses,
429,1,0,1,3,houses,houses,
429,1,0,1,3,windows,windows,
430,1,0,1,3,houses,houses,
430,1,0,1,3,windows,windows,
431,1,0,1,3,houses,houses,
431,0,1,0,3,windows,windows,
432,2,0,2,3,houses,houses,
432,1,0,1,3,windows,windows,
438,1,0,1,3,houses,houses,
439,1,0,1,3,houses,houses,
440,1,0,1,3,houses,houses,
441,1,0,1,3,houses,houses,
442,1,0,1,3,houses,houses,
443,1,0,1,3,houses,houses,
444,1,0,1,3,houses,houses,
445,1,0,1,3,houses,houses,
446,1,0,1,3,houses,houses,
447,1,0,1,3,houses,houses,
448,1,0,1,3,houses,houses,
449,1,0,1,3,houses,houses,
450,1,0,1,3,houses,houses,
451,1,0,1,3,houses,houses,
452,1,0,1,3,houses,houses,
452,1,0,1,3,windows,windows,
453,1,0,1,3,houses,houses,
453,1,0,1,3,windows,windows,
454,1,0,1,3,houses,houses,
454,1,0,1,3,windows,windows,
455,1,0,1,3,houses,houses,
455,1,0,1,3,windows,windows,
463,1,0,1,3,houses,houses,
464,1,0,1,3,houses,houses,
465,1,0,1,3,houses,houses,
466,1,0,1,3,houses,houses,
467,1,0,1,3,houses,houses,
467,1,0,1,3,windows,windows,
468,1,0,1,3,houses,houses,
468,1,0,1,3,windows,windows,
496,1,0,1,3,houses,houses,
500,1,0,1,3,houses,houses,
501,1,0,1,3,houses,houses,
511,1,0,1,3,houses,houses,
512,1,0,1,3,houses,houses,
513,1,0,1,3,houses,houses,
514,1,0,1,3,houses,houses,
515,1,0,1,3,houses,houses,
516,1,0,1,3,houses,houses,
517,1,0,1,3,houses,houses,
518,1,0,1,3,houses,houses,
519,1,0,1,3,houses,houses,
519,1,0,1,3,windows,windows,
520,1,0,1,3,houses,houses,
520,1,0,1,3,windows,windows,
521,1,0,1,3,houses,houses,
521,1,0,1,3,windows,windows,
522,1,0,1,3,houses,houses,
522,1,0,1,3,windows,windows,
527,1,0,1,3,houses,houses,
528,1,0,1,3,houses,houses,
529,1,0,1,3,houses,houses,
530,1,0,1,3,houses,houses,
531,1,0,1,3,houses,houses,
532,1,0,1,3,houses,houses,
533,1,0,1,3,houses,houses,
534,1,0,1,3,houses,houses,
535,1,0,1,3,houses,houses,
536,1,0,1,3,houses,houses,
537,1,0,1,3,houses,houses,
538,1,0,1,3,houses,houses,
550,1,0,1,3,houses,houses,
551,1,0,1,3,houses,houses,
552,1,0,1,3,houses,houses,
560,1,0,1,3,houses,houses,
564,1,0,1,3,houses,houses,
565,1,0,1,3,houses,houses,
577,1,0,1,3,dungeons,dungeons,
578,1,0,1,3,dungeons,dungeons,
579,1,0,1,3,dungeons,dungeons,
580,1,0,1,3,dungeons,dungeons,
581,1,0,1,3,dungeons,dungeons,
582,1,0,1,3,dungeons,dungeons,
583,1,0,1,3,dungeons,dungeons,
584,1,0,1,3,dungeons,dungeons,
585,1,0,1,3,dungeons,dungeons,
586,1,0,1,3,dungeons,dungeons,
588,1,0,1,3,houses,houses,
589,1,0,1,3,houses,houses,
590,1,0,1,3,houses,houses,
591,1,0,1,3,houses,houses,
592,1,0,1,3,houses,houses,
593,1,0,1,3,houses,houses,
597,1,0,1,3,houses,houses,
598,1,0,1,3,houses,houses,
599,1,0,1,3,houses,houses,
600,1,0,1,3,houses,houses,
601,1,0,1,3,houses,houses,
603,1,0,1,3,houses,houses,
604,1,0,1,3,caves,caves,
605,1,0,1,3,caves,caves,
606,1,0,1,3,caves,caves,
607,1,0,1,3,caves,caves,
608,1,0,1,3,caves,caves,
609,1,0,1,3,caves,caves,
610,1,0,1,3,caves,caves,
611,1,0,1,3,caves,caves,
612,1,0,1,3,caves,caves,
613,1,0,1,3,caves,caves,
614,1,0,1,3,caves,caves,
615,1,0,1,3,caves,caves,
616,1,0,1,3,caves,caves,
617,1,0,1,3,caves,caves,
618,1,0,1,3,caves,caves,
619,1,0,1,3,caves,caves,
620,1,0,1,3,caves,caves,
621,1,0,1,3,caves,caves,
622,1,0,1,3,caves,caves,
623,1,0,1,3,caves,caves,
637,1,0,1,3,caves,caves,
638,1,0,1,3,caves,caves,
639,1,0,1,3,caves,caves,
640,1,0,1,3,caves,caves,
657,1,0,1,3,houses,houses,
658,1,0,1,3,houses,houses,
659,1,0,1,3,houses,houses,
660,1,0,1,3,houses,houses,
661,1,0,1,3,houses,houses,
661,1,0,1,3,windows,windows,
662,1,0,1,3,houses,houses,
662,1,0,1,3,windows,windows,
663,1,0,1,3,houses,houses,
664,1,0,1,3,houses,houses,
665,1,0,1,3,houses,houses,
666,1,0,1,3,houses,houses,
667,1,0,1,3,houses,houses,
667,1,0,1,3,windows,windows,
668,1,0,1,3,houses,houses,
668,1,0,1,3,windows,windows,
669,1,0,1,3,houses,houses,
670,1,0,1,3,houses,houses,
671,1,0,1,3,houses,houses,
672,1,0,1,3,houses,houses,
685,1,0,1,3,houses,houses,
685,1,0,1,3,windows,windows,
686,1,0,1,3,houses,houses,
686,1,0,1,3,windows,windows,
734,1,0,1,3,houses,houses,
738,1,0,1,3,houses,houses,
739,1,0,1,3,houses,houses,
744,1,0,1,3,houses,houses,
747,1,0,1,3,houses,houses,
748,1,0,1,3,houses,houses,
761,1,0,1,3,dungeons,dungeons,
762,2,0,2,3,dungeons,dungeons,
763,2,0,2,3,dungeons,dungeons,
764,2,0,2,3,dungeons,dungeons,
765,1,0,1,3,dungeons,dungeons,
766,1,0,1,3,dungeons,dungeons,
767,1,0,1,3,dungeons,dungeons,
768,1,0,1,3,dungeons,dungeons,
872,1,0,1,3,houses,houses,
876,1,0,1,3,houses,houses,
877,1,0,1,3,houses,houses,
895,1,0,1,3,houses,houses,
896,1,0,1,3,houses,houses,
897,1,0,1,3,houses,houses,
898,1,0,1,3,houses,houses,
899,1,0,1,3,houses,houses,
900,1,0,1,3,houses,houses,
901,1,0,1,3,houses,houses,
902,1,0,1,3,houses,houses,
903,1,0,1,3,houses,houses,
904,1,0,1,3,houses,houses,
905,1,0,1,3,houses,houses,
906,1,0,1,3,houses,houses,
907,1,0,1,3,houses,houses,
908,1,0,1,3,houses,houses,
909,1,0,1,3,houses,houses,
910,1,0,1,3,houses,houses,
911,1,0,1,3,houses,houses,
912,1,0,1,3,houses,houses,
913,1,0,1,3,houses,houses,
914,1,0,1,3,houses,houses,
915,1,0,1,3,houses,houses,
916,1,0,1,3,houses,houses,
917,1,0,1,3,houses,houses,
918,1,0,1,3,houses,houses,
933,5,0,5,3,docks,docks,
938,5,0,5,3,docks,docks,
939,5,0,5,3,docks,docks,
940,5,0,5,3,docks,docks,
941,5,0,5,3,docks,docks,
942,5,0,5,3,docks,docks,
943,5,0,5,3,docks,docks,
944,5,0,5,3,docks,docks,
1055,5,0,5,3,orccamp,orccamp,
1056,5,0,5,3,orccamp,orccamp,
1062,5,0,5,3,orccamp,orccamp,
1063,5,0,5,3,orccamp,orccamp,
1064,5,0,5,3,orccamp,orccamp,
1065,5,0,5,3,orccamp,orccamp,
1066,5,0,5,3,orccamp,orccamp,
